model-outliers-metric,MinMaxScaler(),RobustScaler(),StandardScaler()
poi-wo-MAE,-0.22441012623261636,-0.0491203062858101,-0.0
poi-wo-MSE,-0.38149609494969217,-0.06950602006760453,-0.0
poi-wo-RMSE,-0.17510769471772547,-0.03396021623905776,-0.0
poi-no-MAE,-0.20038397220556492,-0.05686760972346705,-0.0
poi-no-MSE,-0.3542241569444422,-0.09525179695096919,-0.0
poi-no-RMSE,-0.16218364574775457,-0.04565706236703382,-0.0
svr-no-MAE,-0.0,-0.019296755381809305,-0.09997995103145474
svr-no-MSE,-0.0,-0.033664164734573454,-0.16371856548845232
svr-no-RMSE,-0.0,-0.01678681977704466,-0.07840968844371865
lin-wo-MAE,-11890880049.829363,-0.0,-573219928765.6613
lin-wo-MSE,-3.384979599801117e+22,-0.0,-7.956908032261892e+25
lin-wo-RMSE,-116462415043.71571,-0.0,-5545569099585.16
rf-no-MAE,-0.0027117198279220656,-0.0018538927657072435,-0.0
rf-no-MSE,-0.00692660519025412,-0.0012748711133576673,-0.0
rf-no-RMSE,-0.0014018333981464792,-0.0011048846840260307,-0.0
rf-wo-MAE,-0.005172467637897471,-1.1653046727566618e-05,-0.0
rf-wo-MSE,-0.008004295991145494,-0.00916962041421443,-0.0
rf-wo-RMSE,-0.001242700608857561,-0.0,-0.0049591865684019965
svr-wo-MAE,-0.035243881598720384,-0.0,-0.09084433189533914
svr-wo-MSE,-0.03583131542376572,-0.0,-0.13441155132474747
svr-wo-RMSE,-0.01852309010564057,-0.0,-0.06556749720612443
lin-no-MAE,-755469108.4379991,-0.0,-1933696617189.3818
lin-no-MSE,-3.6075829253072925e+20,-0.0,-2.3682016369149328e+27
lin-no-RMSE,-7731311146.158652,-0.0,-15801273449293.104
