model-outliers-metric,MinMaxScaler(),RobustScaler(),StandardScaler()
poi-wo-MAE,4.033940040350701,3.456430423107509,3.2945987246632127
poi-wo-MSE,26.091099661642424,20.198817977351265,18.886119010414244
poi-wo-RMSE,5.101761974226793,4.488966362643772,4.34152716143374
poi-no-MAE,3.87035974038064,3.4076245120719904,3.224268092541512
poi-no-MSE,23.34352221222834,18.879470225812,17.237561516328807
poi-no-RMSE,4.818715345421263,4.335565855630507,4.146259812768987
svr-no-MAE,3.2308529519468694,3.2931979310351847,3.553873471872348
svr-no-MSE,18.174263737519386,18.786085145908825,21.14972812543486
svr-no-RMSE,4.252213023220992,4.323594156895404,4.5856277215680725
lin-wo-MAE,39839817101.26286,3.3504515167053697,1920545579742.0042
lin-wo-MSE,6.750254773722435e+23,19.94178864215029,1.586749782243946e+27
lin-wo-RMSE,519291770601.7272,4.458878603902772,24727019404609.09
rf-no-MAE,3.0301994446363234,3.027607087295608,3.022004614802292
rf-no-MSE,16.956039290775152,16.860867483242306,16.839399419356276
rf-no-RMSE,4.094967886762559,4.093753593550999,4.089235459921955
rf-wo-MAE,3.060994596894916,3.0452786614830853,3.045243175122069
rf-wo-MSE,17.94346307473422,17.96420699005143,17.80097877171333
rf-wo-RMSE,4.2181956044996385,4.2129601563482515,4.233853011768827
svr-wo-MAE,3.438360580317172,3.321304903543438,3.623026628526555
svr-wo-MSE,21.045917928085405,20.317900815226245,23.04886138346316
svr-wo-RMSE,4.580767944299353,4.497461067695813,4.792348333686611
lin-no-MAE,2382897932.824565,3.154196383485787,6099258876700.603
lin-no-MSE,6.115032372667349e+21,16.950497048232016,4.0142194856144795e+28
lin-no-RMSE,31791823680.037968,4.112086950700702,64976210355295.75
