,MAE,MSE,RMSE,Score Time,Fit Time
rf-no,0.08449595135257204,0.15896536027356767,0.08254394000413379,0.01780876276462129,0.0
ela-net-rb-no,0.05323928688698831,0.15837018064295405,0.08093404842177665,0.931935125689426,0.9718260349223377
svr-no,0.054771669052362304,0.148630821533548,0.07606634347840069,0.6047166754646232,0.9374259020641393
poi-no,0.029431206740482052,0.1435060524172288,0.07296763425583097,0.953961082694723,0.9932414510441566
rf-wo,0.08147689186725937,0.11273613674374439,0.058876445793210164,0.5250581575258932,0.23331289287931345
poi-wo,0.008260288321681797,0.06159310234080084,0.029309214291938668,0.9366751005697436,0.9921536472506145
ela-net-st-no,0.0016181257517688952,0.03328338881836046,0.014933665210231206,0.8081162058357756,0.9938649550970103
ela-net-st-wo,0.0016181257517688952,0.03328338881836046,0.014933665210231206,0.9338143691865227,0.9977318925891688
ela-net-rb-wo,0.0,0.013649090718257817,0.005903544086195867,0.9429957951835739,0.991244634625248
svr-wo,0.005171963455893547,0.0,0.0,0.0,0.7932340024984974
