,MAE,MSE,RMSE,Score Time,Fit Time
rf-no,-0.0,-0.0,-0.0,-20.333934304376015,-439.8962270589883
ela-net-rb-no,-0.0341414814186376,-0.0007076755254780132,-0.0017547342620032325,-0.4784203950593853,-11.421794904033018
svr-no,-0.032467668869542,-0.01228788714740836,-0.007060388838417309,-7.5858518764530025,-26.588683691540606
poi-no,-0.06014691545432593,-0.01838129742357264,-0.010437890342504197,-0.0,-1.979818735024804
rf-wo,-0.003297701948749454,-0.05496708618905455,-0.025796869455557703,-9.316094953424741,-337.0294528642811
poi-wo,-0.08327179234599913,-0.11577675084160566,-0.058024278255282224,-0.37546456643102255,-2.459427323378009
ela-net-st-no,-0.0905269897203047,-0.14943733054335118,-0.07369320204196717,-3.1678607012383155,-1.7049181505655993
ela-net-st-wo,-0.0905269897203047,-0.14943733054335118,-0.07369320204196717,-0.4376018092391387,-0.0
ela-net-rb-wo,-0.09229445951375848,-0.1727827400814046,-0.08353576728054235,-0.2381743132324332,-2.860207560251026
svr-wo,-0.08664515248607829,-0.18901166820581272,-0.08997045591971542,-20.72075406050829,-90.1623481825007
