,MAE,MSE,RMSE,Score Time,Fit Time
rf-no,3.041340823181806,16.926431740192527,4.103428674238993,0.03216185569763184,2.9262392282485963
ela-net-rb-no,3.145176704384212,16.938410161668735,4.110629101125366,0.0022287845611572267,0.08244376182556153
svr-no,3.140086069948293,17.134421823224322,4.132400476249831,0.07605283260345459,1.0291599750518798
poi-no,3.224268092541512,17.237561516328807,4.146259812768987,0.0015075445175170901,0.019777131080627442
rf-wo,3.051370258741224,17.856828372528838,4.209284288068528,0.01555197238922119,2.243509888648987
poi-wo,3.294598724663212,18.886119010414244,4.34152716143374,0.0020735740661621095,0.022960305213928226
ela-net-st-no,3.3166642526179286,19.45587251507115,4.405823472594489,0.006283235549926758,0.017952609062194824
ela-net-st-wo,3.3166642526179286,19.45587251507115,4.405823472594489,0.0021672487258911134,0.0066370248794555674
ela-net-rb-wo,3.3220397306545,19.851026996063847,4.446211737022526,0.001866602897644043,0.025620293617248536
svr-wo,3.3048582625685285,20.125724840178133,4.472616022894308,0.03274500370025635,0.6050467729568482
