model-outliers-metric,MinMaxScaler(),RobustScaler(),StandardScaler()
poi-wo-MAE,0.0,0.10113302392523194,0.1387993172831179
poi-wo-MSE,0.0,0.1489922099985006,0.21722641658418673
poi-wo-RMSE,0.0,0.07783427178397018,0.11604769135484161
poi-no-MAE,0.0,0.08824803144947124,0.1234035594686409
poi-no-MSE,0.0,0.1217732633228018,0.18308139501936171
poi-no-RMSE,0.0,0.06340332285910866,0.09626757660780305
svr-no-MAE,0.03830574577802026,0.036784131441194856,0.0
svr-no-MSE,0.12252170815206664,0.09109011742588824,0.0
svr-no-RMSE,0.06312493006120268,0.04664294439776706,0.0
lin-wo-MAE,0.9161477795906461,0.9999999999979244,0.0
lin-wo-MSE,0.9926470671433312,1.0,0.0
lin-wo-RMSE,0.9149666212436204,0.999999999999785,0.0
rf-no-MAE,0.0,0.0030296426541355226,0.0028467704895259738
rf-no-MSE,0.009261953639415621,0.0,0.013643182076712335
rf-no-RMSE,0.0009673652117617726,0.0,0.0035205580595284447
rf-wo-MAE,0.0,0.006690113996897118,0.0036234749622250373
rf-wo-MSE,0.003560151453300353,0.0024865917090943768,0.0
rf-wo-RMSE,0.0,0.008636264904328894,0.0069254212833486095
svr-wo-MAE,0.09781006474380105,0.0,0.06589148986129545
svr-wo-MSE,0.19301345391085079,0.0,0.10075623280557933
svr-wo-RMSE,0.10196709193723219,0.0,0.053059357424815046
lin-no-MAE,0.9714183196791261,0.9952889808114297,0.0
lin-no-MSE,0.9987344549337229,0.9999767504224271,0.0
lin-no-RMSE,0.9711052125200553,0.9952267077224789,0.0
