model-outliers-metric,MinMaxScaler(),RobustScaler(),StandardScaler()
poi-wo-MAE,-0.161169539305565,-0.043736952505724735,-0.0
poi-wo-MSE,-0.27750861958865425,-0.08716978706400691,-0.0
poi-wo-RMSE,-0.1312827515917787,-0.04323018243986643,-0.0
poi-no-MAE,-0.14077579346984148,-0.04010457537091949,-0.0
poi-no-MSE,-0.22411216234168263,-0.07504802966020474,-0.0
poi-no-RMSE,-0.10652221179191379,-0.03636502674689601,-0.0
svr-no-MAE,-0.0,-0.0015822225516533006,-0.03983152193106321
svr-no-MSE,-0.0,-0.035820362757903235,-0.1396293324750415
svr-no-RMSE,-0.0,-0.017592511736396643,-0.06737817248710276
lin-wo-MAE,-40399713480.25729,-0.0,-481796585516.1394
lin-wo-MSE,-4.415459220385055e+23,-0.0,-6.005031334374808e+25
lin-wo-RMSE,-395466537266.2924,-0.0,-4650721199732.848
rf-no-MAE,-0.003038849281538303,-0.0,-0.0001834278855556981
rf-no-MSE,-0.004441829120744645,-0.013831893112917548,-0.0
rf-no-RMSE,-0.00256221326833872,-0.0035329961776962016,-0.0
rf-wo-MAE,-0.006735173072541123,-0.0,-0.003087293379321565
rf-wo-MSE,-0.0,-0.0010773954351299686,-0.003572871416666734
rf-wo-RMSE,-0.008711499723656368,-0.0,-0.0017257476347116718
svr-wo-MAE,-0.0,-0.1084140499927273,-0.035378996855514044
svr-wo-MSE,-0.0,-0.23917803195882303,-0.11432312168322034
svr-wo-RMSE,-0.0,-0.11354493919069752,-0.05446096025358438
lin-no-MAE,-5.066984483998266,-0.0,-211.26829269262373
lin-no-MSE,-53.43303485009046,-0.0,-43010.53416070617
lin-no-RMSE,-5.053429331369308,-0.0,-208.49900862122237
