model-outliers-metric,MinMaxScaler(),RobustScaler(),StandardScaler()
poi-wo-MAE,5.315360998854307,4.777802467785929,4.5775925211000175
poi-wo-MSE,40.95807332767573,34.85563946530468,32.060897828512374
poi-wo-RMSE,6.3912789806256765,5.8938184354004814,5.6495858101193415
poi-no-MAE,5.225143149209544,4.764034552250111,4.580341885863903
poi-no-MSE,39.403222113014884,34.60496317087988,32.18922524030636
poi-no-RMSE,6.269390144554506,5.8718899770896025,5.665851148529399
svr-no-MAE,4.6985416910413775,4.705975829664826,4.885691757452107
svr-no-MSE,34.01971637013958,35.23831495143896,38.76986665789241
svr-no-RMSE,5.823229099023499,5.925674325291796,6.21558763368942
lin-wo-MAE,182204503244.39874,4.5100444419965795,2172924012684.5044
lin-wo-MSE,1.3881177353859222e+25,31.437675360635986,1.8878422562052194e+27
lin-wo-RMSE,2209903441000.972,5.588092120945539,25988658492947.1
rf-no-MAE,2.7504234279530886,2.742090627818828,2.742593603704691
rf-no-MSE,15.033050510106046,15.173587574767152,14.966571556727665
rf-no-RMSE,3.8615709486419934,3.8653101151800895,3.8517020665015154
rf-wo-MAE,2.8050951721290214,2.7863287656553326,2.7949309800061535
rf-wo-MSE,15.301373915879939,15.317859546288126,15.356043757379718
rf-wo-RMSE,3.9084467649783896,3.8746923833515687,3.881379124567373
svr-wo-MAE,4.753168862987718,5.268479149723544,4.921331209245088
svr-wo-MSE,34.596760859673836,42.871546034240666,38.5519705612796
svr-wo-RMSE,5.873964141397043,6.540923042640308,6.193865869032647
lin-no-MAE,188724616219.76126,31106823615.178905,6602992339884.616
lin-no-MSE,6.3042055955153396e+25,1.158158021664093e+24,4.981415331230101e+28
lin-no-RMSE,2510817714518.596,414776084277.941,86895178456021.22
