,MAE,MSE,RMSE,Score Time,Fit Time
rf-no,0.4011707084420487,0.5351007267793985,0.3198091783957977,0.5145956354300385,0.09525098104476426
rf-wo,0.39168575391480853,0.5260591276492466,0.3140931595465617,0.5545924261874198,0.0
ela-net-st-no,0.03323519010240006,0.061809383119038386,0.03152659786656753,0.7237660462130937,0.9617621676034003
ela-net-rb-no,0.031927353438993666,0.05843118576827033,0.02973637292168818,0.7591864569961488,0.8220184881341037
ela-net-st-wo,0.018341979544094777,0.03676389088536225,0.0201138873998592,0.9057228818998716,0.9945496209138994
svr-no,0.035538543346569584,0.03699053692204057,0.01876459276986464,0.0,0.8248552183076295
ela-net-rb-wo,0.009812752464275154,0.020917441854091168,0.011930135110268192,0.8619078947368422,0.9811904017986728
svr-wo,0.013335383187018213,0.006977302528162532,0.004382064415609843,0.35148668164313224,0.8243414053007155
poi-wo,0.0006002531759405905,0.003986657362392898,0.0028707669833994975,0.9267466302952503,0.9789987966399711
poi-no,0.0,0.0,0.0,0.9249149550706033,0.9841045409616287
