,MAE,MSE,RMSE,Score Time,Fit Time
rf-no,-0.0,-0.0,-0.0,-5.626375913168243,-164.99744800549857
rf-wo,-0.015839162614379676,-0.019448512077715252,-0.008403551867629089,-5.080369757839284,-182.4734766523263
ela-net-st-no,-0.6144247175725237,-1.0180513735408154,-0.4238260373013083,-2.7709385233782027,-6.015628049453114
ela-net-rb-no,-0.6166087067023869,-1.025317888128729,-0.42645798246730937,-2.2874056712265753,-31.65488676187325
ela-net-st-wo,-0.6392952620970878,-1.0719243169424533,-0.44060472661056993,-0.28700042714916285,-0.0
svr-no,-0.6105782904243509,-1.071436800506671,-0.44258842675343923,-12.65124913748727,-31.13442201461192
ela-net-rb-wo,-0.6535384315613428,-1.106010085503661,-0.45263628015357416,-0.8851297328674848,-2.451062376430857
svr-wo,-0.6476559024793429,-1.1359953750683403,-0.4637332700789256,-7.853016877868198,-31.228693073339613
poi-wo,-0.6689226143630336,-1.1424282635197498,-0.4659551428008275,-0.0,-2.8531637943470036
poi-no,-0.66992499214315,-1.1510035777695986,-0.47017567458722964,-0.02500465483061909,-1.916395132754627
