,MAE,MSE,RMSE,Score Time,Fit Time
rf-no,2.7428428866050907,14.96474741975267,3.853859947805324,0.014424514770507813,1.8656380891799929
rf-wo,2.7862872211117233,15.25578949068569,3.886246059767284,0.013235950469970705,2.0620504140853884
ela-net-st-no,4.428113352553229,30.19962908512325,5.487226137797881,0.008208703994750977,0.07884833812713624
ela-net-rb-no,4.434103691602497,30.308370640553328,5.497369285857952,0.0071561336517333984,0.3670068502426148
ela-net-st-wo,4.496329348688425,31.005824075887393,5.551888856503514,0.0028015851974487306,0.011238956451416015
svr-no,4.4175632072110185,30.99852851556293,5.559533759032574,0.02971649169921875,0.36115736961364747
ela-net-rb-wo,4.535396124736168,31.515908993014012,5.5982567788127735,0.004103612899780272,0.03878633975982666
svr-wo,4.5192612716883565,31.96463127765758,5.641023023827285,0.019271540641784667,0.3622168779373169
poi-wo,4.5775925211000175,32.060897828512374,5.649585810119343,0.002176833152770996,0.04330554008483887
poi-no,4.580341885863901,32.189225240306364,5.665851148529398,0.002231264114379883,0.03277723789215088
