distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,ci,payload,throughput,rtt,region,hour,weekday
99.42,51.49055343,7.4139657,157.63,11.83,0.0,79.35,-85,-5,22,10,7,26385408,0.1,6.83763,41,campus,10,Monday
237.43,51.49071491,7.41600202,152.41,10.76,-0.52,89.45,-84,-6,11,13,4,29391105,2.0,9.71463,58,campus,10,Monday
325.26,51.49066763,7.41717576,154.64,6.19,-0.62,27.05,-82,-6,21,15,4,29391105,2.0,7.30594,57,campus,10,Monday
448.27,51.4918387,7.41680351,155.87,9.77,-0.98,342.45,-94,-9,9,9,4,29391105,3.0,3.9499699999999995,163,campus,10,Monday
540.48,51.49253066,7.41622166,154.41,12.33,0.01,336.68,-90,-6,16,9,4,29391105,5.0,8.54884,59,campus,10,Monday
673.04,51.49371518,7.4157706999999995,152.68,11.88,0.09,347.54,-101,-10,13,15,4,29391105,8.0,11.2994,51,campus,10,Monday
749.79,51.4943804,7.41552672,153.19,3.58,-2.21,347.67,-91,-11,8,8,4,29391105,3.0,6.779660000000001,75,campus,10,Monday
755.91,51.49443217,7.41550146,153.67,0.0,0.0,346.05,-98,-12,7,7,4,29391105,0.1,4.30109,55,campus,10,Monday
755.91,51.49443217,7.41550146,154.29,0.0,0.0,346.05,-94,-11,-2,6,4,29391105,5.0,12.3533,72,campus,10,Monday
756.2,51.49444349,7.41548456,155.86,1.03,0.86,355.63,-94,-10,2,7,4,29391105,9.0,16.8579,47,campus,10,Monday
764.04,51.49454494,7.41544831,156.82,0.0,0.0,254.7,-92,-9,24,10,4,29391105,5.0,11.2391,40,campus,10,Monday
776.71,51.49451863,7.41501793,154.31,6.25,1.08,261.54,-89,-8,10,5,4,29391104,4.0,11.5816,71,campus,10,Monday
891.79,51.49425293,7.41329291,165.89,12.26,0.0,258.16,-91,-8,16,7,4,29391104,9.0,23.968000000000004,32,campus,10,Monday
1011.85,51.49400541,7.41150366,167.8,13.63,0.6,257.97,-78,-6,15,15,4,29391104,7.0,23.430999999999997,40,campus,10,Monday
1135.19,51.49376245,7.40975634,171.04,14.05,0.2,257.63,-84,-7,13,14,4,29391104,1.0,5.75954,92,campus,10,Monday
1297.88,51.4934652,7.40757866,175.9,13.79,0.0,258.39,-85,-7,11,6,3,29391106,8.0,20.592,47,campus,10,Monday
1407.11,51.49325833,7.40590101,173.01,13.63,0.52,258.05,-87,-7,11,9,3,29391106,2.0,13.4116,54,campus,10,Monday
1611.89,51.49298137,7.40310166,168.76,13.13,-0.11,265.42,-91,-7,9,7,3,29391106,8.0,11.179,56,campus,10,Monday
1675.49,51.49299979,7.40226175,164.62,6.64,0.0,271.15,-98,-7,5,6,7,26385410,3.0,11.7417,40,campus,10,Monday
1690.01,51.49300893,7.40209701,163.59,0.0,0.0,268.19,-92,-7,10,9,7,26385410,1.0,12.0846,66,campus,10,Monday
1690.01,51.49300893,7.40209701,163.39,0.0,0.0,268.19,-92,-6,13,7,7,26385410,5.0,13.5916,38,campus,10,Monday
1690.01,51.49300998,7.40200007,162.84,0.0,0.0,273.89,-93,-8,13,6,7,26385410,0.5,6.932410000000001,82,campus,10,Monday
1768.01,51.49226098,7.40175115,166.22,12.34,0.96,180.48,-90,-7,16,10,7,26385410,10.0,24.3902,54,campus,10,Monday
1872.18,51.49139091,7.401755900000001,169.41,11.6,0.0,180.43,-87,-6,19,9,7,26385410,4.0,16.3516,50,campus,10,Monday
1969.02,51.49046045,7.40178002,173.89,11.44,0.22,179.98,-83,-6,25,15,7,26385410,0.5,8.23045,52,campus,10,Monday
2071.32,51.48962588,7.40177736,180.72,2.43,-0.4,180.66,-77,-6,22,15,7,26385410,2.0,9.864360000000001,59,campus,10,Monday
2127.28,51.48939958,7.40234932,180.02,10.16,0.77,93.08,-67,-5,20,13,7,26385410,0.5,5.39811,54,campus,10,Monday
