"timestamp" "rawTimesamp" "distance" "lat" "lon" "alt" "speed" "acc" "dir" "connected" "rsrp" "rsrq" "sinr" "cqi" "ss" "ta" "ci" "pci" "id" "payload" "throughput" "rtt" "measurement" "location"
10.33 1544432937 99.42 51.49055343 7.4139657 157.63 11.83 0 79.35 1 -85 -5 22 10 50 7 26385408 95 0 0.1 6.83763 41 "1544432927" "campus"
21.87 1544432949 237.43 51.49071491 7.41600202 152.41 10.76 -0.52 89.45 1 -84 -6 11 13 52 4 29391105 167 1 2 9.71463 58 "1544432927" "campus"
32.46 1544432959 325.26 51.49066763 7.41717576 154.64 6.19 -0.62 27.05 1 -82 -6 21 15 54 4 29391105 167 2 2 7.30594 57 "1544432927" "campus"
46.4 1544432973 448.27 51.4918387 7.41680351 155.87 9.77 -0.98 342.45 1 -94 -9 9 9 45 4 29391105 167 3 3 3.94997 163 "1544432927" "campus"
54.95 1544432982 540.48 51.49253066 7.41622166 154.41 12.33 0.01 336.68 1 -90 -6 16 9 45 4 29391105 167 4 5 8.54884 59 "1544432927" "campus"
65.93 1544432993 673.04 51.49371518 7.4157707 152.68 11.88 0.09 347.54 1 -101 -10 13 15 40 4 29391105 167 5 8 11.2994 51 "1544432927" "campus"
73.86 1544433001 749.79 51.4943804 7.41552672 153.19 3.58 -2.21 347.67 1 -91 -11 8 8 48 4 29391105 167 6 3 6.77966 75 "1544432927" "campus"
80.46 1544433007 755.91 51.49443217 7.41550146 153.67 0 0 346.05 1 -98 -12 7 7 45 4 29391105 167 7 0.1 4.30109 55 "1544432927" "campus"
93.48 1544433020 755.91 51.49443217 7.41550146 154.29 0 0 346.05 1 -94 -11 -2 6 48 4 29391105 167 8 5 12.3533 72 "1544432927" "campus"
104.5 1544433031 756.2 51.49444349 7.41548456 155.86 1.03 0.86 355.63 1 -94 -10 2 7 48 4 29391105 167 9 9 16.8579 47 "1544432927" "campus"
113.81 1544433041 764.04 51.49454494 7.41544831 156.82 0 0 254.7 1 -92 -9 24 10 48 4 29391105 167 10 5 11.2391 40 "1544432927" "campus"
123.01 1544433050 776.71 51.49451863 7.41501793 154.31 6.25 1.08 261.54 1 -89 -8 10 5 51 4 29391104 165 11 4 11.5816 71 "1544432927" "campus"
133.19 1544433060 891.79 51.49425293 7.41329291 165.89 12.26 0 258.16 1 -91 -8 16 7 48 4 29391104 165 12 9 23.968 32 "1544432927" "campus"
142.59 1544433069 1011.85 51.49400541 7.41150366 167.8 13.63 0.6 257.97 1 -78 -6 15 15 57 4 29391104 165 13 7 23.431 40 "1544432927" "campus"
151.61 1544433078 1135.19 51.49376245 7.40975634 171.04 14.05 0.2 257.63 1 -84 -7 13 14 54 4 29391104 165 14 1 5.75954 92 "1544432927" "campus"
163.33 1544433090 1297.88 51.4934652 7.40757866 175.9 13.79 0 258.39 1 -85 -7 11 6 53 3 29391106 166 15 8 20.592 47 "1544432927" "campus"
171.42 1544433098 1407.11 51.49325833 7.40590101 173.01 13.63 0.52 258.05 1 -87 -7 11 9 52 3 29391106 166 16 2 13.4116 54 "1544432927" "campus"
185.96 1544433113 1611.89 51.49298137 7.40310166 168.76 13.13 -0.11 265.42 1 -91 -7 9 7 46 3 29391106 166 17 8 11.179 56 "1544432927" "campus"
192.24 1544433119 1675.49 51.49299979 7.40226175 164.62 6.64 0 271.15 1 -98 -7 5 6 39 7 26385410 94 18 3 11.7417 40 "1544432927" "campus"
200.92 1544433128 1690.01 51.49300893 7.40209701 163.59 0 0 268.19 1 -92 -7 10 9 46 7 26385410 94 19 1 12.0846 66 "1544432927" "campus"
213.14 1544433140 1690.01 51.49300893 7.40209701 163.39 0 0 268.19 1 -92 -6 13 7 45 7 26385410 94 20 5 13.5916 38 "1544432927" "campus"
220.84 1544433148 1690.01 51.49300998 7.40200007 162.84 0 0 273.89 1 -93 -8 13 6 46 7 26385410 94 21 0.5 6.93241 82 "1544432927" "campus"
233.52 1544433160 1768.01 51.49226098 7.40175115 166.22 12.34 0.96 180.48 1 -90 -7 16 10 49 7 26385410 94 22 10 24.3902 54 "1544432927" "campus"
242.17 1544433169 1872.18 51.49139091 7.4017559 169.41 11.6 0 180.43 1 -87 -6 19 9 48 7 26385410 94 23 4 16.3516 50 "1544432927" "campus"
250.76 1544433178 1969.02 51.49046045 7.40178002 173.89 11.44 0.22 179.98 1 -83 -6 25 15 54 7 26385410 94 24 0.5 8.23045 52 "1544432927" "campus"
261.89 1544433189 2071.32 51.48962588 7.40177736 180.72 2.43 -0.4 180.66 1 -77 -6 22 15 59 7 26385410 94 25 2 9.86436 59 "1544432927" "campus"
271.03 1544433198 2127.28 51.48939958 7.40234932 180.02 10.16 0.77 93.08 1 -67 -5 20 13 63 7 26385410 94 26 0.5 5.39811 54 "1544432927" "campus"
280.54 1544433207 2239.43 51.48941651 7.40405264 180.25 12.01 -0.26 90.78 1 -70 -6 19 15 63 7 26385410 94 27 0.1 2.55592 88 "1544432927" "campus"
291.96 1544433219 2371.6 51.48944706 7.40585424 180.06 11.29 -0.15 83.74 1 -75 -7 13 15 63 1 26385408 95 28 4 18.2336 33 "1544432927" "campus"
312.09 1544433239 2522.54 51.48977473 7.40794722 179.45 8.43 0 78.31 1 -78 -6 18 15 59 1 26385408 95 30 5 20.9205 37 "1544432927" "campus"
320.42 1544433247 2599.4 51.4898971 7.40918267 177.13 10.15 -0.6 77.24 1 -79 -5 21 12 57 1 26385408 95 31 0.1 4.7059 41 "1544432927" "campus"
333.7 1544433261 2750.72 51.49017144 7.41128259 166.83 11.85 -1.14 77.4 1 -81 -6 21 10 54 1 26385408 95 32 8 19.059 48 "1544432927" "campus"
13.24 1544433279 168.29 51.49060324 7.41443121 158.88 13.13 0 78.14 1 -91 -6 7 15 46 1 26385408 95 0 5 15.0773 35 "1544433265" "campus"
24.46 1544433290 304.33 51.49067793 7.41633238 155.94 8.87 0 95.54 1 -85 -6 3 6 51 4 29391105 167 1 5 10.4384 53 "1544433265" "campus"
32.86 1544433298 338.29 51.49058851 7.41681556 155.73 0 -0.97 103.29 1 -88 -6 14 11 49 4 29391105 167 2 7 24.735 46 "1544433265" "campus"
41.11 1544433307 338.43 51.49058851 7.41681556 155.49 0 0 103.29 1 -81 -5 22 14 55 4 29391105 167 3 0.5 7.47664 60 "1544433265" "campus"
53.44 1544433319 338.43 51.49058851 7.41681556 155.64 0 0 103.29 1 -81 -7 23 14 57 4 29391105 167 4 6 17.192 60 "1544433265" "campus"
63.25 1544433329 372.57 51.49072684 7.41722512 158.49 7.04 0 356.84 1 -86 -7 20 11 52 4 29391105 167 5 7 21.18 59 "1544433265" "campus"
75.08 1544433341 482.01 51.49174002 7.41684288 159.35 10 0 344.76 1 -92 -6 11 15 46 4 29391105 167 6 6 10.7623 87 "1544433265" "campus"
82.56 1544433348 564.4 51.49235502 7.41632293 158.34 12.33 0 332.84 1 -86 -5 27 10 50 4 29391105 167 7 4 16.3182 59 "1544433265" "campus"
95.74 1544433361 729.12 51.49379666 7.41582499 152.35 11.13 0 348.71 1 -96 -9 4 13 41 4 29391105 167 8 10 15.5009 47 "1544433265" "campus"
102.53 1544433368 785.96 51.49431236 7.41556766 153.83 4.59 0 346.48 1 -89 -7 12 15 48 4 29391105 167 9 2 8.27301 78 "1544433265" "campus"
115.87 1544433381 793.86 51.49435323 7.41555061 153.69 0 0 348.41 1 -93 -8 7 15 46 4 29391105 167 10 5 7.68197 115 "1544433265" "campus"
125.47 1544433391 793.86 51.49435323 7.41555061 151.86 0 0 4.66 1 -96 -8 11 11 43 4 29391105 167 11 6 9.89895 49 "1544433265" "campus"
135.55 1544433401 816.22 51.49451494 7.41519561 150.55 8.23 0 256.37 1 -95 -10 4 6 47 4 29391105 167 12 3 4.88599 47 "1544433265" "campus"
143.02 1544433408 899.78 51.49434454 7.41389995 155.48 12.23 -0.08 257.61 1 -92 -8 5 6 46 3 29391104 165 13 4 13.1363 33 "1544433265" "campus"
160.71 1544433426 1132.1 51.4939303 7.4107377 166.88 13.38 0 258.36 1 -82 -7 24 12 56 3 29391104 165 15 0.1 5.03147 33 "1544433265" "campus"
181.67 1544433447 1424.91 51.4933896 7.40660543 168.04 14.63 0 258.04 1 -83 -7 19 10 55 3 29391106 166 17 2 14.4928 38 "1544433265" "campus"
191.59 1544433457 1571.91 51.49310395 7.40450542 168.17 14.45 0 258.18 1 -91 -7 8 10 47 3 29391106 166 18 0.5 4.33369 55 "1544433265" "campus"
201.72 1544433467 1703.97 51.49299394 7.40263926 166.64 10.23 0 269 1 -96 -13 0 6 47 3 29391106 166 19 0.5 3.61337 69 "1544433265" "campus"
214.62 1544433480 1741.61 51.49300662 7.40208124 162.57 0 0 276.57 1 -91 -6 25 8 47 6 26385410 94 20 9 18.136 52 "1544433265" "campus"
221.86 1544433487 1782.89 51.49263095 7.401746 163.96 10.05 1.33 174.54 1 -89 -7 27 10 50 6 26385410 94 21 4 26.3374 54 "1544433265" "campus"
234.77 1544433500 1938.44 51.49121643 7.4017233 168.32 12.7 0.16 181.08 1 -86 -8 30 11 54 6 26385410 94 22 10 19.2123 48 "1544433265" "campus"
240.81 1544433506 2015.47 51.49053257 7.401715 169.89 12.75 0.12 180.24 1 -83 -6 17 15 54 6 26385410 94 23 0.1 4.46929 80 "1544433265" "campus"
253.55 1544433519 2129.56 51.48961465 7.40175153 171.89 0 0 183.21 1 -76 -6 32 11 59 6 26385410 94 24 10 27.2201 48 "1544433265" "campus"
263.24 1544433529 2129.56 51.48961465 7.40175153 172.13 0 0 183.21 1 -66 -7 40 13 63 6 26385410 94 25 8 24.4182 47 "1544433265" "campus"
271.38 1544433537 2133.35 51.48947148 7.40175544 173.59 2.51 0 181.01 1 -69 -6 16 14 63 6 26385410 94 26 2 22.5352 119 "1544433265" "campus"
293.27 1544433559 2289.41 51.48938894 7.40406587 182.7 12.9 0 89.43 1 -72 -6 15 12 63 6 26385410 94 28 6 18.1612 58 "1544433265" "campus"
312.84 1544433578 2535.92 51.48968193 7.40768119 184.32 12.87 -0.17 79.34 1 -73 -6 12 9 63 2 26385408 95 30 5 18.0668 50 "1544433265" "campus"
323.81 1544433589 2682.42 51.48994461 7.40972081 178.4 13.3 -0.35 78.78 1 -80 -6 13 11 55 2 26385408 95 31 10 24.8834 51 "1544433265" "campus"
331.98 1544433597 2787.69 51.49013901 7.41113607 170.06 12.34 -0.12 77.31 1 -78 -6 18 11 59 2 26385408 95 32 2 11.5108 34 "1544433265" "campus"
12.5 1544433615 162.76 51.49054475 7.41421834 164.88 13.63 0.13 77.87 1 -90 -7 11 9 48 2 26385408 95 0 9 28.2132 78 "1544433602" "campus"
22.21 1544433624 289.66 51.49067765 7.4160627 162.35 11.64 -2.22 90.34 1 -87 -6 9 9 48 2 26385408 95 1 5 17.4064 38 "1544433602" "campus"
30.99 1544433633 364.38 51.49056582 7.41694394 160.3 1.73 -2.07 102.76 1 -84 -7 21 12 54 4 29391105 167 2 1 8.30737 60 "1544433602" "campus"
43.51 1544433646 366.39 51.49056582 7.41694394 160.05 0 0 102.76 1 -75 -6 29 15 60 4 29391105 167 3 9 20.4895 52 "1544433602" "campus"
50.12 1544433652 366.39 51.49056582 7.41694394 159.83 0 0 102.76 1 -75 -6 28 15 59 4 29391105 167 4 0.1 5.12822 38 "1544433602" "campus"
61.8 1544433664 366.39 51.49056582 7.41694394 159.39 0 0 102.76 1 -77 -6 23 11 59 4 29391105 167 5 9 38.3387 54 "1544433602" "campus"
72.16 1544433674 431.17 51.49124584 7.41700754 155.34 11.55 1.74 348.58 1 -92 -7 11 8 45 4 29391105 167 6 6 21.7391 62 "1544433602" "campus"
82.86 1544433685 548.59 51.49217868 7.4164924 155.17 11.36 1.01 330.74 1 -92 -7 14 9 46 4 29391105 167 7 6 16.3432 54 "1544433602" "campus"
92.82 1544433695 665.98 51.49320884 7.415924 154.02 11.98 0.92 346.74 1 -98 -10 12 6 42 4 29391105 167 8 1 2.81294 102 "1544433602" "campus"
102.67 1544433705 786.83 51.49428491 7.41555746 153.78 9.11 -2.33 347.14 1 -97 -8 13 9 40 4 29391105 167 9 5 14.9087 58 "1544433602" "campus"
113.54 1544433716 885.37 51.49441215 7.41434896 155.26 13.67 1.15 258.46 1 -95 -10 8 11 46 4 29391105 167 10 10 22.1852 59 "1544433602" "campus"
122.28 1544433724 1004.59 51.49417248 7.41258216 158.45 14.04 0.07 258.46 1 -89 -9 11 10 50 3 29391104 165 11 5 16.7997 29 "1544433602" "campus"
131.18 1544433733 1130.47 51.49392093 7.41077618 161.63 13.94 -0.8 258.35 1 -81 -6 17 9 55 3 29391104 165 12 2 12.7085 45 "1544433602" "campus"
143.27 1544433745 1299.34 51.49362302 7.40842102 162.44 14.77 1.49 258.02 1 -75 -7 23 15 63 3 29391104 165 13 3 7.12166 32 "1544433602" "campus"
152.3 1544433754 1428.6 51.49338142 7.40659224 164.84 13.82 -0.34 257.87 1 -86 -7 16 15 51 3 29391106 166 14 2 6.86106 100 "1544433602" "campus"
162.9 1544433765 1580.07 51.49311906 7.40459725 166.83 13.92 -0.37 257.98 1 -90 -7 23 9 48 3 29391106 166 15 6 15.9098 38 "1544433602" "campus"
173.72 1544433776 1728.97 51.49298449 7.40242109 167.64 12.36 -2.01 269.48 1 -92 -9 23 8 47 3 29391106 166 16 3 6.38638 74 "1544433602" "campus"
180.6 1544433783 1765.68 51.49299869 7.40208758 167.99 0 0 272.03 1 -92 -7 27 8 46 7 26385410 94 17 1 12.8205 75 "1544433602" "campus"
193.37 1544433795 1765.68 51.49299869 7.40208758 167.94 0 0 272.03 1 -93 -7 25 8 45 7 26385410 94 18 7 16.5338 56 "1544433602" "campus"
200.19 1544433802 1765.68 51.49299869 7.40208758 167.87 0 0 272.03 1 -93 -7 14 9 45 7 26385410 94 19 0.1 4.1885 51 "1544433602" "campus"
221.63 1544433824 1902.29 51.4916205 7.4017571 159.49 13.42 0.56 180.41 1 -87 -6 18 10 50 7 26385410 94 21 2 9.29692 56 "1544433602" "campus"
232.28 1544433834 2054.51 51.49020806 7.40172014 160.56 13.23 -5.31 179.69 1 -81 -6 11 15 56 7 26385410 94 22 6 20.5304 59 "1544433602" "campus"
253.57 1544433856 2143.13 51.48958427 7.40173911 168.52 0 0 188.9 1 -65 -6 25 15 63 7 26385410 94 24 10 21.9058 47 "1544433602" "campus"
263.74 1544433866 2175.42 51.48940733 7.40221683 173.68 9.64 1.85 90.91 1 -71 -6 38 14 63 7 26385410 94 25 9 19.0931 47 "1544433602" "campus"
272.73 1544433875 2279.86 51.4894016 7.4037441 174.02 10.83 -0.58 90.58 1 -75 -5 38 12 61 7 26385410 94 26 3 8.67365 54 "1544433602" "campus"
280.02 1544433882 2365.14 51.48940255 7.40494851 177.07 12.63 0.55 91.16 1 -73 -8 18 13 63 1 26385408 95 27 0.1 6.72271 31 "1544433602" "campus"
293.28 1544433895 2538.27 51.48967141 7.40758291 178.26 13.41 0.84 77.75 1 -75 -6 14 10 60 1 26385408 95 28 10 23.5919 33 "1544433602" "campus"
300.35 1544433902 2632.17 51.48982098 7.40888127 175.72 13.43 -0.55 78.1 1 -79 -6 14 15 56 1 26385408 95 29 0.5 8.45666 32 "1544433602" "campus"
312.58 1544433915 2794.6 51.49013381 7.4110769 167.48 12.9 -0.5 75.9 1 -81 -6 9 15 53 1 26385408 95 30 6 17.8771 32 "1544433602" "campus"
14.99 1544517567 140.08 51.49058355 7.41449827 163.04 5.35 -1.84 79.13 1 -87 -7 25 13 48 7 26385408 95 0 9 16.4534 150 "1544517552" "campus"
25.39 1544517578 186.9 51.49065835 7.41516749 161.04 5.4 0 82.32 1 -85 -6 2 10 52 7 26385408 95 1 10 16.8244 161 "1544517552" "campus"
32.06 1544517584 212.39 51.49067236 7.41555381 159.68 7.48 2.08 86.5 1 -82 -8 11 9 57 2 29391105 167 2 1 5.43848 134 "1544517552" "campus"
42.82 1544517595 300.91 51.49057961 7.41685629 157.92 1.96 -2.13 102.28 1 -83 -5 28 11 53 2 29391105 167 3 2 7.0922 115 "1544517552" "campus"
51.68 1544517604 304.8 51.49057321 7.4168755 157.93 0 0 102.28 1 -79 -5 22 11 57 2 29391105 167 4 2 13.6752 61 "1544517552" "campus"
64.31 1544517617 323.94 51.49063021 7.41722822 154.37 5.32 0 18.06 1 -77 -6 27 12 62 2 29391105 167 5 8 17.1169 117 "1544517552" "campus"
70.71 1544517623 381.11 51.49115038 7.41706097 153.15 10.1 0 348.42 1 -96 -7 12 8 40 2 29391105 167 6 0.1 4.21054 81 "1544517552" "campus"
80.74 1544517633 486.88 51.49213173 7.41654448 153.9 12.51 -0.34 335.01 1 -86 -5 17 11 50 2 29391105 167 7 0.1 5.55558 129 "1544517552" "campus"
92.68 1544517645 634.57 51.49331309 7.41592441 157.47 13.43 0 347.45 1 -99 -8 10 10 41 2 29391105 167 8 4 14.7943 57 "1544517552" "campus"
104.02 1544517656 770.47 51.4945202 7.41543702 155.21 5.87 -1.06 318.86 1 -90 -8 15 10 49 2 29391105 167 9 7 16.2743 44 "1544517552" "campus"
112.14 1544517664 843.37 51.49444923 7.41428503 153.87 12.75 0 259.17 1 -92 -9 7 12 47 2 29391105 167 10 3 15 57 "1544517552" "campus"
123.57 1544517676 995.56 51.4941354 7.41221356 158.39 13.62 0 257.95 1 -85 -6 11 10 53 3 29391104 165 11 6 16.0643 124 "1544517552" "campus"
132.81 1544517685 1123.38 51.49384542 7.41024551 164.27 13.52 0.23 258.65 1 -80 -6 15 13 58 3 29391104 165 12 6 20.8605 48 "1544517552" "campus"
143.63 1544517696 1274.1 51.49357057 7.40829835 165.73 13.27 0 257.9 1 -85 -10 12 10 56 3 29391104 165 13 5 12.7755 39 "1544517552" "campus"
152.96 1544517705 1403.5 51.49330455 7.40632944 165.52 14.34 -0.05 257.95 1 -84 -6 12 14 52 3 29391106 166 14 2 6.51997 62 "1544517552" "campus"
161.04 1544517713 1515.33 51.4931195 7.40481128 164.3 13.01 -0.44 257.98 1 -90 -8 14 11 49 3 29391106 166 15 0.5 8.09717 89 "1544517552" "campus"
174.95 1544517727 1685.35 51.49297461 7.40240921 166.47 7.96 -0.85 269.58 1 -91 -8 13 8 48 3 29391106 166 16 10 18.1118 77 "1544517552" "campus"
181.21 1544517734 1714.16 51.49298215 7.40208197 166.38 0 0 270.91 1 -91 -7 24 6 47 5 26385410 94 17 0.5 6.50407 132 "1544517552" "campus"
193.05 1544517745 1714.16 51.49298215 7.40208197 166.28 0 0 270.91 1 -92 -7 24 6 46 5 26385410 94 18 6 18.9798 49 "1544517552" "campus"
201.57 1544517754 1714.16 51.49298215 7.40208197 166.37 0 0 270.91 1 -91 -8 21 6 48 5 26385410 94 19 2 14.7601 46 "1544517552" "campus"
210.71 1544517763 1716.07 51.49293373 7.40184821 167.26 1.65 0 216.19 1 -92 -7 25 7 46 5 26385410 94 20 0.1 4.8485 57 "1544517552" "campus"
223.03 1544517775 1846.62 51.49152289 7.40173459 170.76 13.61 0.27 181.18 1 -86 -10 23 12 55 5 26385410 94 21 8 25.4676 69 "1544517552" "campus"
231.34 1544517784 1959.73 51.49054659 7.40171472 174.2 13.7 0 180.44 1 -81 -6 36 15 57 5 26385410 94 22 0.5 5.29801 129 "1544517552" "campus"
241.48 1544517794 2052.18 51.48975392 7.40170239 179.01 2.12 0 181.83 1 -77 -7 26 15 61 5 26385410 94 23 1 8.16327 61 "1544517552" "campus"
251.24 1544517804 2089.17 51.48939193 7.40181137 181.04 6.5 0 139.08 1 -70 -6 35 15 63 5 26385410 94 24 0.5 6.0698 98 "1544517552" "campus"
261.06 1544517813 2191.98 51.48937599 7.40342733 180.01 12.11 -0.16 91.08 1 -72 -6 37 13 63 5 26385410 94 25 0.5 7.1048 68 "1544517552" "campus"
273.02 1544517825 2337.23 51.48938199 7.40550332 178.76 11.23 -0.57 87.05 1 -71 -6 19 12 63 1 26385408 95 26 7 22.3196 33 "1544517552" "campus"
281.15 1544517834 2417.26 51.48952569 7.40660039 180.21 9.11 0 76.62 1 -74 -6 17 12 63 1 26385408 95 27 0.5 6.42055 117 "1544517552" "campus"
293.14 1544517845 2533.57 51.48974474 7.40820635 178.74 10.09 0 82.72 1 -76 -8 10 11 62 1 26385408 95 28 6 18.1064 75 "1544517552" "campus"
22.19 1544517887 287.35 51.49069087 7.41556946 155.47 12.73 0 84.28 1 -85 -6 12 15 51 1 26385408 95 1 2 6.91742 100 "1544517865" "campus"
