"timestamp" "rawTimesamp" "distance" "lat" "lon" "alt" "speed" "acc" "dir" "connected" "rsrp" "rsrq" "sinr" "cqi" "ss" "ta" "ci" "pci" "id" "payload" "throughput" "rtt" "txPower" "measurement" "location"
11.53 1544432938 113.75 51.49059236 7.4143063 156.39 12.21 0.5 77.59 1 -85 -5 22 10 50 7 26385408 95 0 4 24.5211 35 12.3047 "1544432927" "campus"
21.33 1544432948 231.4 51.4907167 7.41583512 152.53 11.17 0 87.24 1 -84 -6 11 13 52 4 29391105 167 1 2 14.8561 51 10.0156 "1544432927" "campus"
32.22 1544432959 323.73 51.49063376 7.41713752 154.23 6.44 0 48.55 1 -82 -6 21 15 54 4 29391105 167 2 4 16.2684 57 4.34375 "1544432927" "campus"
54.69 1544432982 537.34 51.49253066 7.41622166 154.41 12.33 0.02 336.68 1 -90 -6 16 9 45 4 29391105 167 4 8 14.5886 60 17.3125 "1544432927" "campus"
63.98 1544432991 650.07 51.49348443 7.41583636 153.05 11.69 -0.18 348.09 1 -101 -10 13 15 40 4 29391105 167 5 6 13.1255 57 19.9375 "1544432927" "campus"
72.76 1544433000 743.61 51.49433395 7.41554805 153.12 5.36 -1.15 346.91 1 -91 -11 8 8 48 4 29391105 167 6 5 16.3733 77 18.6563 "1544432927" "campus"
82.29 1544433009 755.91 51.49443217 7.41550146 153.71 0 0 346.05 1 -98 -12 7 7 45 4 29391105 167 7 4 15.8573 54 18.8594 "1544432927" "campus"
91.91 1544433019 755.91 51.49443217 7.41550146 154.21 0 0 346.05 1 -94 -11 -2 6 48 4 29391105 167 8 3 15.1038 79 11.2344 "1544432927" "campus"
112.97 1544433040 764.04 51.49454059 7.41545185 156.7 0 0 348.18 1 -92 -9 24 10 48 4 29391105 167 10 7 21.9608 47 15.9688 "1544432927" "campus"
123.21 1544433050 777.93 51.49451863 7.41501793 154.31 6.25 0 261.54 1 -89 -8 10 5 51 4 29391104 165 11 8 22.0158 82 15.2031 "1544432927" "campus"
130.96 1544433058 864.67 51.4943099 7.41361725 162.27 12.18 -0.24 257.76 1 -91 -8 16 7 48 4 29391104 165 12 1 10.929 46 17.375 "1544432927" "campus"
141.13 1544433068 992.26 51.49405633 7.41188378 167.65 13.46 0 258.66 1 -78 -6 15 15 57 4 29391104 165 13 3 27.1186 48 3.45313 "1544432927" "campus"
151.37 1544433078 1131.75 51.49379007 7.4099516 170.91 13.94 0 258.16 1 -84 -7 13 14 54 4 29391104 165 14 4 27.7296 45 11.875 "1544432927" "campus"
160.66 1544433087 1260.01 51.49351891 7.40797849 174.85 14.34 0.41 258.4 1 -85 -7 11 6 53 3 29391106 166 15 0.5 9.34579 46 4.57813 "1544432927" "campus"
173.53 1544433100 1435.9 51.49320896 7.40550206 172.62 14.41 0.6 258.23 1 -87 -7 11 9 52 3 29391106 166 16 9 22.0791 55 17.5781 "1544432927" "campus"
200.73 1544433128 1690.01 51.49300893 7.40209701 163.59 0 0 268.19 1 -92 -7 10 9 46 7 26385410 94 19 0.5 8.35073 66 14.875 "1544432927" "campus"
212.34 1544433139 1690.01 51.49300893 7.40209701 163.41 0 0 268.19 1 -92 -6 13 7 45 7 26385410 94 20 5 19.2308 58 16.1094 "1544432927" "campus"
220.47 1544433147 1690.01 51.49300998 7.40200007 162.84 0 0 273.89 1 -93 -8 13 6 46 7 26385410 94 21 0.1 3.61992 74 16.1094 "1544432927" "campus"
230.92 1544433158 1739.49 51.49258281 7.40174503 163.98 10.29 1.14 182.01 1 -90 -7 16 10 49 7 26385410 94 22 1 11.9225 54 16.7813 "1544432927" "campus"
240.46 1544433167 1851.81 51.49150021 7.40175529 168.92 11.86 -0.35 180.8 1 -87 -6 19 9 48 7 26385410 94 23 0.1 3.80954 67 14.7031 "1544432927" "campus"
252.01 1544433179 1983.3 51.49036304 7.4017815 174.72 11.2 -0.24 180.34 1 -83 -6 25 15 54 7 26385410 94 24 6 27.3973 52 12.8906 "1544432927" "campus"
261.61 1544433188 2070.54 51.48962588 7.40177736 180.72 2.43 -0.61 180.66 1 -77 -6 22 15 59 7 26385410 94 25 4 23.9521 59 7.85938 "1544432927" "campus"
272.62 1544433199 2143.61 51.48941128 7.40263088 179.6 11.21 1.34 91.84 1 -67 -5 20 13 63 7 26385410 94 26 9 30.7167 54 -6.10938 "1544432927" "campus"
281.99 1544433209 2256.98 51.48941917 7.40422921 180.46 11.92 -0.1 90.2 1 -70 -6 19 15 63 7 26385410 94 27 4 18.9461 53 -5.11719 "1544432927" "campus"
291.86 1544433219 2370.46 51.48944706 7.40585424 180.06 11.29 -0.17 83.74 1 -75 -7 13 15 63 1 26385408 95 28 6 29.7398 35 -4.98438 "1544432927" "campus"
300.76 1544433228 2467.92 51.48964717 7.40721569 178.55 8.51 -0.43 77.67 1 -75 -5 22 15 62 1 26385408 95 29 0.5 7.63359 40 -7 "1544432927" "campus"
310.38 1544433237 2509.54 51.4897617 7.40783174 179.36 8.14 3.98 76.05 1 -78 -6 18 15 59 1 26385408 95 30 0.1 4.16668 40 7.52344 "1544432927" "campus"
321.54 1544433248 2610.93 51.48991829 7.40931463 176.49 10.01 -0.3 75.81 1 -79 -5 21 12 57 1 26385408 95 31 5 31.0318 43 2.6875 "1544432927" "campus"
